Title,Authors,Year,Tags,Abstract,URL,Zotero Key
The prevalence and impact of maltreatment of child laborers in the context of four South Asian countries: A scoping review,"Md. Abdul Ahad, Yvonne K. Parry, Eileen Willis",#NUM!,,,https://linkinghub.elsevier.com/retrieve/pii/S0145213421001253,ZYAWSRKS
Education in Conflict Areas of South Asia,"Padma M. Sarangapani, Rekha Pappu, Sanjeev Rai",2020,,,https://link.springer.com/10.1007/978-981-15-0032-9_37,T9GZ6FRB
Motivational capacities after prolonged interpersonal childhood trauma in institutional settings in a sample of Austrian adult survivors,"Dina Weindl, Matthias Knefel, Tobias M. Glück, Ulrich S. Tran, Brigitte Lueger-Schuster",#NUM!,,,https://linkinghub.elsevier.com/retrieve/pii/S0145213417304167,BCAJ4X3A
Suicide in South Asia,"Maurizio Pompili, Lakshmi Vijayakumar, Madhumitha Balaji",2021,,,https://link.springer.com/10.1007/978-3-030-41319-4_44-1,PE926INI
Full Text,,,,,https://capmh.biomedcentral.com/track/pdf/10.1186/s13034-017-0176-1,48YYUPWE
"Mental health literacy in adolescents: ability to recognise problems, helpful interventions and outcomes","Udena Ruwindu Attygalle, Hemamali Perera, Bernard Deepal Wanniarachchi Jayamanne",#NUM!,,,http://capmh.biomedcentral.com/articles/10.1186/s13034-017-0176-1,BUXHDWF7
"Patterns of psychiatric morbidity among children and adolescents presenting to an outpatient child and adolescent mental health service (CAMHS) in a Teaching Hospital in Colombo, Sri Lanka—Challenges and implications for service development",Yasodha Maheshi Rohanachandra,#NUM!,,,https://linkinghub.elsevier.com/retrieve/pii/S1876201819303983,J5RTUCD9
3. SEX TRAFFICKING IN NEPAL,Bishnu Sapkota,,,"Extreme poverty, illiteracy, unemployment, poor law enforcement, and open border between India and Nepal are major factors for human trafficking. Due to the devastating earthquake that hit Nepal on April 25, 2015, which was followed by more than 400 aftershocks, about 3 million people were victimized. The earthquake victims- women and children, were more vulnerable to trafficking than before. Hence, it is vital to understand human trafficking, its form, factors, effects, and motives. The objective of this paper is to make intellectuals aware of the issue of sex trafficking, problems, and possible solutions in Nepal.",,V92JZW27
How platforms facilitate collaboration across organizational boundaries: fighting human trafficking in Sweden,"Josefina Erikson, Oscar L. Larsson",#NUM!,,"The use of collaborations and partnerships that engage a variety of actors from both the public and private spheres has drawn attention during the last decade as a promising strategy for combatting trafficking and improving assistance to victims of trafficking. This article investigates the Swedish Civil Society Platform against Human Trafficking as an example of successful collaboration between civil society actors. The aim is to explore how the platform as a distinct organizational form is capable of dealing productively with some of the challenges facing internal and external collaboration. We utilize interviews with key actors and a study of policy documents as we argue that the modularity and flexibility of the platform organizational form are key factors in its success. While it is a robust type of organization that may be regarded as a trustworthy partner, it also permits its member organizations to continue functioning as independent entities.",http://link.springer.com/10.1007/s11077-020-09371-6,S6BCCHHL
Exploring Private Investigation Agencies’ Experience of Collaboration with Law Enforcement in Investigations of Human Trafficking Cases,"Charles Hounmenou, Sachi Toepp",2023,,"In their forefront role to address human trafﬁcking, law enforcement agencies (LEAs) have often faced challenges in efforts to investigate this crime. Non-traditional partnerships should be explored to improve strategies to investigate human trafﬁcking. Could private investigation agencies (PIAs) collaborate with LEAs to help improve human trafﬁcking investigations? The present study examines PIAs’ experiences of collaboration with LEAs for human trafﬁcking investigations. A mixed research method design was used. Purposive sampling was used to select 81 participants representing 81 PIAs for a survey. Follow-up semi-structured interviews were conducted with 28 of the 39 survey participants who reported that their agencies had collaborated with LEAs for human trafﬁcking investigations. The ﬁndings show varying levels of success and challenges for PIAs in interagency collaboration with LEAs. The challenges to collaboration identiﬁed could be mostly explained by LEAs’ misperceptions of private investigators, their over-reliance on a criminal approach instead of a victim-centered one in investigating trafﬁcking cases and recovering victims, and legal or ethical limitations. Positive aspects of PIA–LEA partnerships regarding human trafﬁcking investigations were discussed and so were strategies to address inherent challenges to interagency collaboration. Several policy implications were discussed for developing and improving partnership initiatives with law enforcement in an effort to prevent human trafﬁcking, protect victims, and prosecute trafﬁcking cases.",https://www.mdpi.com/2075-4698/13/2/44,W8GIZ3YC
